ville,pays,latitude,longitude,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2026-07-22T09:00:05+00:00,1,118.29,0.04,0.13,48.75,0.28,4.93,7.15,0.66
Paris,FR,48.8566,2.3522,2026-07-22T09:00:07+00:00,2,112.46,1.6,4.51,65.97,1.36,3.75,6.6,4.38
New York,US,40.7128,-74.006,2026-07-22T09:00:08+00:00,1,111.12,0.0,4.13,41.55,0.84,1.32,1.42,0.11
Tokyo,JP,35.6762,139.6503,2026-07-22T09:00:10+00:00,3,123.89,0.07,2.17,111.36,2.49,18.74,31.65,0.0
Sydney,AU,-33.8688,151.2093,2026-07-22T09:00:12+00:00,2,95.0,0.0,1.24,62.05,0.34,3.69,5.0,0.2
New York,US,40.7128,-74.006,2026-07-23T05:41:44+00:00,1,186.94,0.0,12.3,31.43,2.13,4.66,5.45,0.69
Antananarivo,MG,-18.8792,47.5079,2026-07-23T05:49:48+00:00,1,146.44,0.15,0.58,39.38,0.29,3.43,5.63,0.91
Paris,FR,48.8566,2.3522,2026-07-23T05:49:50+00:00,2,104.52,0.21,4.38,64.55,1.14,2.56,5.09,4.87
Tokyo,JP,35.6762,139.6503,2026-07-23T05:49:54+00:00,5,191.58,0.18,2.87,187.53,8.2,47.74,54.93,0.06
Sydney,AU,-33.8688,151.2093,2026-07-23T05:49:56+00:00,2,89.28,0.05,0.37,65.4,0.1,1.74,2.13,0.14
Antananarivo,MG,-18.8792,47.5079,2026-07-23T06:00:22+00:00,1,146.44,0.15,0.58,39.38,0.29,3.43,5.63,0.91
Paris,FR,48.8566,2.3522,2026-07-23T06:00:24+00:00,2,104.52,0.21,4.38,64.55,1.14,2.56,5.09,4.87
New York,US,40.7128,-74.006,2026-07-23T06:00:25+00:00,1,186.94,0.0,12.3,31.43,2.13,4.66,5.45,0.69
Tokyo,JP,35.6762,139.6503,2026-07-23T06:00:27+00:00,5,191.58,0.18,2.87,187.53,8.2,47.74,54.93,0.06
Sydney,AU,-33.8688,151.2093,2026-07-23T06:00:30+00:00,2,89.28,0.05,0.37,65.4,0.1,1.74,2.13,0.14
Antananarivo,MG,-18.8792,47.5079,2026-07-23T06:10:51+00:00,1,146.44,0.15,0.58,39.38,0.29,3.43,5.63,0.91
Paris,FR,48.8566,2.3522,2026-07-23T06:10:53+00:00,2,104.52,0.21,4.38,64.55,1.14,2.56,5.09,4.87
New York,US,40.7128,-74.006,2026-07-23T06:10:55+00:00,1,186.94,0.0,12.3,31.43,2.13,4.66,5.45,0.69
Tokyo,JP,35.6762,139.6503,2026-07-23T06:10:58+00:00,5,191.58,0.18,2.87,187.53,8.2,47.74,54.93,0.06
Sydney,AU,-33.8688,151.2093,2026-07-23T06:11:01+00:00,2,89.28,0.05,0.37,65.4,0.1,1.74,2.13,0.14
New York,US,40.7128,-74.006,2026-07-23T06:20:04+00:00,1,186.94,0.0,12.3,31.43,2.13,4.66,5.45,0.69
Antananarivo,MG,-18.8792,47.5079,2026-07-23T06:26:59+00:00,1,146.44,0.15,0.58,39.38,0.29,3.43,5.63,0.91
Paris,FR,48.8566,2.3522,2026-07-23T06:27:01+00:00,2,104.52,0.21,4.38,64.55,1.14,2.56,5.09,4.87
Tokyo,JP,35.6762,139.6503,2026-07-23T06:27:06+00:00,5,191.58,0.18,2.87,187.53,8.2,47.74,54.93,0.06
Sydney,AU,-33.8688,151.2093,2026-07-23T06:27:08+00:00,2,89.28,0.05,0.37,65.4,0.1,1.74,2.13,0.14
Paris,FR,48.8566,2.3522,2026-07-23T06:50:22+00:00,2,104.36,0.58,3.74,66.09,1.09,2.37,4.71,3.97
New York,US,40.7128,-74.006,2026-07-23T07:00:05+00:00,1,175.67,0.0,11.92,38.6,3.08,3.33,4.04,0.77
Antananarivo,MG,-18.8792,47.5079,2026-07-23T07:00:08+00:00,1,118.67,0.06,0.24,52.46,0.26,2.75,4.26,0.66
Tokyo,JP,35.6762,139.6503,2026-07-23T07:00:30+00:00,5,185.71,0.16,3.18,185.6,7.99,46.75,55.11,0.02
Sydney,AU,-33.8688,151.2093,2026-07-23T07:00:32+00:00,2,87.54,0.02,0.48,64.27,0.11,1.39,1.7,0.16
